File_name,cgpa,sgpa
22011003016_1800265235.html,N/A,N/A
23010905015_1800265979.html,6.87,6.87
22010505054_1800265771.html,1.23,1.38
21011003008_1800265760.html,7.71,7.77
20010603027_1800265242.html,N/A,N/A
21010306045_1800265406.html,N/A,N/A
20010106019_1800266018.html,N/A,N/A
20010106001_1800265237.html,N/A,N/A
21010304026_1800265986.html,2.63,2.62
21010306027_1800265236.html,N/A,N/A
22021306011_1800265911.html,N/A,N/A
20010406006_1800265912.html,N/A,N/A
22011503006_1800265758.html,6.31,5.58
22010501067_1800265929.html,4.52,4.17
20010505004_1800265275.html,2.86,1.92
22010106020_1800265910.html,N/A,N/A
21011203003_1800265589.html,5.35,3.65
21010306037_1800265534.html,N/A,N/A
21010107010_1800265771.html,6.35,5.17
20010203001_1800265284.html,7.37,6.13
21010106039_1800265804.html,N/A,N/A
21010505028_1800265549.html,7.2708333333,7.2083333333
21010106039_1800265536.html,N/A,N/A
20011503008_1800265235.html,N/A,N/A
21021101001_1800265931.html,5.71,4.81
21021201009_1800265934.html,3.57,3.74
21010106018_1800265407.html,N/A,N/A
20010203034_1800265242.html,N/A,N/A
20011103004_1800265760.html,6.31,6.04
23011203001_1800266016.html,2.65,2.65
22010306024_1800265406.html,N/A,N/A
20010306018_1800265910.html,N/A,N/A
21021005003_1800265551.html,6.48,6.07
20010305059_1800265532.html,8.63,8.04
20010203002_1800265591.html,7.38,7.33
20010106010_1800265549.html,N/A,N/A
22020306023_1800265797.html,N/A,N/A
21010301042_1800265813.html,7.64,7.38
21010203018_1800265299.html,7.19,7.04
20010106016_1800265407.html,N/A,N/A
20010104062_1800265600.html,5.77,4.04
21011003009_1800265362.html,4.46,4.46
21021001002_1800265789.html,6.90,6.54
15802_1800265943.html,N/A,N/A
22010101023_1800265786.html,4.33,4.33
22011303040_1800266006.html,5.21,5.21
21010106011_1800265801.html,N/A,N/A
21011206001_1800265800.html,N/A,N/A
21010101005_1800265930.html,4.43,3.54
20011106001_1800265804.html,N/A,N/A
21020203001_1800266013.html,7.60483870967742,8.34782608695652
20010306001_1800265908.html,N/A,N/A
22010301058_1800265467.html,3.79,3.79
21010106022_1800265911.html,N/A,N/A
21020106010_1800266017.html,N/A,N/A
20010203021_1800265760.html,6.01,5.21
22010103047_1800266003.html,4.38,4.38
22010104005_1800265815.html,2.90,2.71
22010306010_1800265908.html,N/A,N/A
21010106019_1800265534.html,N/A,N/A
23020106011_1800265561.html,N/A,N/A
22010306005_1800265913.html,N/A,N/A
21021005006_1800265775.html,5.97,5.22
22010306040_1800265237.html,N/A,N/A
22021406003_1800266019.html,N/A,N/A
23015103045_1800266005.html,N/A,N/A
22010205029_1800265899.html,5.33,5.33
20010106043_1800265236.html,N/A,N/A
22020505004_1800265903.html,8.51,8.81
21010106039_1800265802.html,N/A,N/A
22020106012_1800265537.html,N/A,N/A
20010106029_1800265560.html,N/A,N/A
20010401025_1800265814.html,7.19,6.19
20010603001_1800265761.html,7.10,7.15
20010106029_1800265910.html,N/A,N/A
21010306026_1800265535.html,N/A,N/A
21010306039_1800265638.html,N/A,N/A
21010205020_1800265899.html,6.13,6.13
20010106008_1800265564.html,N/A,N/A
20010603050_1800265243.html,7.92,8.19
21020406020_1800265404.html,N/A,N/A
21011303018_1800265760.html,4.99,5.00
21020406028_1800265403.html,N/A,N/A
20010305001_1800265275.html,8.16,8.27
22010306021_1800265799.html,N/A,N/A
22011303048_1800266009.html,4.22222222222222,3.625
22010301023_1800265930.html,4.89,5.04
20010603044_1800265235.html,N/A,N/A
22011103009_1800266007.html,5.79,4.96
21010505020_1800265548.html,2.67,2.67
23020106021_1800265293.html,N/A,N/A
20010104042_1800265817.html,7.84,7.35
20010406003_1800265406.html,N/A,N/A
23020306002_1800265537.html,N/A,N/A
20010905003_1800265904.html,5.90,3.78
22011203024_1800265242.html,N/A,N/A
21020406002_1800265407.html,N/A,N/A
23010503017_1800266018.html,N/A,N/A
21010106001_1800265408.html,N/A,N/A
21010401004_1800265930.html,3.97,2.50
23010406009_1800265980.html,2.61,2.61
20010305035_1800265532.html,7.98,8.07
20010306026_1800265537.html,N/A,N/A
21011201011_1800265788.html,4.19,2.23
20010106026_1800265405.html,N/A,N/A
20010104011_1800265600.html,7.92,7.29
23020203003_1800266009.html,8.84615384615385,8.84615384615385
21011203015_1800265362.html,8.08,8.08
20010306001_1800265238.html,N/A,N/A
20010501012_1800265934.html,4.24,5.13
20010301004_1800265331.html,7.19,5.81
21021201009_1800265814.html,3.33,2.70
23010505031_1800265979.html,6.61,6.61
20010306026_1800265563.html,N/A,N/A
21020406007_1800265561.html,N/A,N/A
23020106002_1800265243.html,N/A,N/A
20010306036_1800265537.html,N/A,N/A
20010903003_1800265235.html,N/A,N/A
21010306009_1800266019.html,N/A,N/A
21020106016_1800265801.html,N/A,N/A
20010106027_1800265405.html,N/A,N/A
20011005007_1800265275.html,5.56,4.11
20010106012_1800265912.html,N/A,N/A
20011103013_1800265759.html,7.39,6.77
21010301051_1800265787.html,6.40,6.13
21010203016_1800265242.html,N/A,N/A
21020306012_1800265910.html,N/A,N/A
22010304010_1800265516.html,6.75,6.75
20010101041_1800265934.html,5.43,4.96
22010306021_1800265408.html,N/A,N/A
21020106016_1800265796.html,N/A,N/A
20010306021_1800265236.html,N/A,N/A
23010107023_1800265981.html,6.74,6.74
21010107018_1800265914.html,4.54,4.54
21011003008_1800265588.html,7.81,7.38
20011106001_1800265906.html,N/A,N/A
20010306026_1800265912.html,N/A,N/A
22011306001_1800265910.html,N/A,N/A
21020901027_1800265469.html,7.39,7.12
20011005007_1800265774.html,5.98,4.76
21021005005_1800265775.html,6.40,4.96
21020106008_1800265236.html,N/A,N/A
20010406011_1800265293.html,N/A,N/A
21010306035_1800265407.html,N/A,N/A
23015103030_1800265243.html,N/A,N/A
23010306026_1800265980.html,4.57,4.57
22020406006_1800265406.html,N/A,N/A
20010205011_1800265904.html,6.38,5.22
21020406022_1800265563.html,N/A,N/A
21011203007_1800265589.html,5.30,3.46
22020304012_1800265985.html,6.06,6.13
20010106030_1800265801.html,N/A,N/A
21020406002_1800265404.html,N/A,N/A
23020106002_1800265800.html,N/A,N/A
20010306023_1800265561.html,N/A,N/A
20011101006_1800265267.html,5.62,3.38
20010203042_1800265242.html,N/A,N/A
22010306024_1800265906.html,N/A,N/A
22020903005_1800265242.html,N/A,N/A
23021306001_1800266019.html,N/A,N/A
21010306045_1800265549.html,N/A,N/A
22021101003_1800265788.html,6.19,6.19
20010203006_1800265243.html,7.99,7.73
21010101017_1800265494.html,5.79,5.79
21011103014_1800266011.html,7.36507936507936,6.65384615384615
20010306015_1800265408.html,N/A,N/A
20010205013_1800265551.html,6.12,4.73
22011103002_1800265587.html,6.54,6.54
20010401017_1800265789.html,3.38,0.83
20010406003_1800265908.html,N/A,N/A
21010106053_1800265563.html,N/A,N/A
22020903009_1800265242.html,N/A,N/A
21010603037_1800265362.html,6.17,6.17
20010306044_1800265402.html,N/A,N/A
22010106017_1800265293.html,N/A,N/A
21020106010_1800265909.html,N/A,N/A
21011103007_1800265238.html,7.04,7.04
20010305005_1800265532.html,7.79,7.63
20010306035_1800265408.html,N/A,N/A
21010101039_1800265468.html,6.50,6.54
20010401034_1800265469.html,8.16,8.50
21020905004_1800265532.html,7.48,7.56
21020903004_1800265591.html,6.53,5.88
20010106015_1800265912.html,N/A,N/A
22010305046_1800265901.html,4.72,4.31
20010306009_1800265912.html,N/A,N/A
21020406006_1800265406.html,N/A,N/A
20010106050_1800265278.html,N/A,N/A
21011306002_1800265534.html,N/A,N/A
21010401023_1800265291.html,3.48,3.50
21011003003_1800265242.html,N/A,N/A
20010106021_1800265549.html,N/A,N/A
21010306009_1800265561.html,N/A,N/A
21020301001_1800265790.html,7.18,6.27
21010106003_1800265909.html,N/A,N/A
21011403010_1800266011.html,5.99206349206349,4.34615384615385
21010603015_1800265242.html,N/A,N/A
22021201030_1800265468.html,6.92,6.92
22020106001_1800265800.html,N/A,N/A
21021105004_1800265773.html,7.5,7.3214285714
21020204003_1800265599.html,5.31,5.31
21021405002_1800265550.html,5.62,5.62
22020501003_1800265932.html,7.36,6.77
20010603015_1800265762.html,6.89,6.26
23010102014_1800265237.html,N/A,N/A
20010301036_1800265933.html,6.78,6.15
21020306006_1800265560.html,N/A,N/A
21010901016_1800265498.html,6.90,6.50
20010205016_1800265532.html,7.34,7.48
20011206001_1800265236.html,N/A,N/A
20010603039_1800265243.html,6.82,4.92
22010106017_1800265236.html,N/A,N/A
21011003020_1800265758.html,6.90,6.08
21010106044_1800265243.html,N/A,N/A
22010204022_1800265818.html,2.67,2.67
22010306010_1800265560.html,N/A,N/A
20010306008_1800265408.html,N/A,N/A
22011206004_1800266018.html,N/A,N/A
22021306002_1800265639.html,N/A,N/A
22011403008_1800266009.html,5.56756756756757,4.80769230769231
22020406004_1800265404.html,N/A,N/A
20011306003_1800265406.html,N/A,N/A
21011203020_1800265242.html,N/A,N/A
23010905013_1800265979.html,5.04,5.04
22011401004_1800265928.html,3.88,3.88
23020106008_1800265535.html,N/A,N/A
22020905001_1800265903.html,6.92,6.48
20010106012_1800265910.html,N/A,N/A
22020306016_1800265560.html,N/A,N/A
20010306046_1800265405.html,N/A,N/A
21010106047_1800265559.html,N/A,N/A
21010903011_1800265238.html,3.25,3.25
20010505009_1800265532.html,7.48,7.44
20011203010_1800265242.html,N/A,N/A
22010306035_1800265537.html,N/A,N/A
21010106025_1800265537.html,N/A,N/A
23011103028_1800265243.html,N/A,N/A
22021005023_1800265901.html,5.54,5.54
22010101013_1800265812.html,2.50,1.71
21010306035_1800265280.html,N/A,N/A
21020906001_1800265407.html,N/A,N/A
22010305004_1800265901.html,4.55,4.62
22020406006_1800265906.html,N/A,N/A
23021505008_1800265901.html,6.92,6.92
21010501021_1800265932.html,5.68,5.42
20010104006_1800265984.html,6.85,5.42
21010306011_1800265403.html,N/A,N/A
23010104044_1800265989.html,2.09,2.09
22010103035_1800265479.html,6.13,6.13
20010306019_1800265537.html,N/A,N/A
21010306033_1800265535.html,N/A,N/A
22010306041_1800265912.html,N/A,N/A
21010106040_1800265911.html,N/A,N/A
21020106016_1800265799.html,N/A,N/A
20010106015_1800265801.html,N/A,N/A
22020107009_1800265539.html,5.47826086956522,0
21010501012_1800265498.html,5.83,5.63
22010306027_1800265560.html,N/A,N/A
20010203037_1800265242.html,N/A,N/A
21020301002_1800265469.html,8.53,8.27
20011101004_1800265331.html,5.66,2.50
22010106015_1800265403.html,N/A,N/A
20010406003_1800265638.html,N/A,N/A
21020306012_1800265549.html,N/A,N/A
21010301002_1800265468.html,8.28,8.15
21020406013_1800265907.html,N/A,N/A
21020406015_1800265796.html,N/A,N/A
22010103012_1800265479.html,2.38,2.38
20010406006_1800265279.html,N/A,N/A
21020203004_1800266013.html,6.81451612903226,7.60869565217391
20010401026_1800265931.html,6.52,5.79
20010203035_1800265242.html,N/A,N/A
20010104012_1800265599.html,7.42,7.04
22010106021_1800265293.html,N/A,N/A
22010401036_1800265467.html,6.17,6.17
23010104041_1800265989.html,3.22,3.22
21010501042_1800265329.html,3.33,3.33
20010603047_1800265243.html,5.76,3.19
21010505021_1800265395.html,7.92,7.92
20010106033_1800265797.html,N/A,N/A
